cyrillic,romanized,type
ЧЯ,chya,3
ША,sha,3
ШЕ,she,3
ШЁ,shyo,3
ШИ,shi,3
ШО,sho,3
ШУ,shu,3
ШЫ,sheu,3
ШЭ,she,3
ШЮ,shyu,3
ШЯ,shya,3
ЩА,shcha,3
ЩЕ,shche,3
ЩЁ,shchyo,3
ЩИ,shchi,3
ЩО,shcho,3
ЩУ,shchu,3
ЩЫ,shcheu,3
ЩЭ,shche,3
ЩЮ,shchyu,3
ЩЯ,shchya,3
БАБ,bab,4
БАВ,bav,4
БАГ,bag,4
БАД,bad,4
БАЖ,bazh,4
БАЗ,baz,4
БАЙ,bay,4
БАК,bak,4
БАЛ,bal,4
БАМ,bam,4
БАН,ban,4
БАП,bap,4
БАР,bar,4
БАС,bas,4
БАТ,bat,4
БАФ,baf,4
БАХ,bakh,4
БАЦ,bats,4
БАЧ,bach,4
БАШ,bash,4
БАЩ,bashch,4
БЕБ,beb,4
БЕВ,bev,4
БЕГ,beg,4
БЕД,bed,4
БЕЖ,bezh,4
БЕЗ,bez,4
БЕЙ,bey,4
БЕК,bek,4
БЕЛ,bel,4
БЕМ,bem,4
БЕН,ben,4
БЕП,bep,4
БЕР,ber,4
БЕС,bes,4
БЕТ,bet,4
БЕФ,bef,4
БЕХ,bekh,4
БЕЦ,bets,4
БЕЧ,bech,4
БЕШ,besh,4
БЕЩ,beshch,4
БЁБ,byob,4
БЁВ,byov,4
БЁГ,byog,4
БЁД,byod,4
БЁЖ,byozh,4
БЁЗ,byoz,4
БЁЙ,byoy,4
БЁК,byok,4
БЁЛ,byol,4
БЁМ,byom,4
БЁН,byon,4
БЁП,byop,4
БЁР,byor,4
БЁС,byos,4
БЁТ,byot,4
БЁФ,byof,4
БЁХ,byokh,4
БЁЦ,byots,4
БЁЧ,byoch,4
БЁШ,byosh,4
БЁЩ,byoshch,4
БИБ,bib,4
БИВ,biv,4
БИГ,big,4
БИД,bid,4
БИЖ,bizh,4
БИЗ,biz,4
БИЙ,biy,4
БИК,bik,4
БИЛ,bil,4
БИМ,bim,4
БИН,bin,4
БИП,bip,4
БИР,bir,4
БИС,bis,4
БИТ,bit,4
БИФ,bif,4
БИХ,bikh,4
БИЦ,bits,4
БИЧ,bich,4
БИШ,bish,4
БИЩ,bishch,4
БОБ,bob,4
БОВ,bov,4
БОГ,bog,4
БОД,bod,4
БОЖ,bozh,4
БОЗ,boz,4
БОЙ,boy,4
БОК,bok,4
БОЛ,bol,4
БОМ,bom,4
БОН,bon,4
БОП,bop,4
БОР,bor,4
БОС,bos,4
БОТ,bot,4
БОФ,bof,4
БОХ,bokh,4
БОЦ,bots,4
БОЧ,boch,4
БОШ,bosh,4
БОЩ,boshch,4
БУБ,bub,4
БУВ,buv,4
БУГ,bug,4
БУД,bud,4
БУЖ,buzh,4
БУЗ,buz,4
БУЙ,buy,4
БУК,buk,4
БУЛ,bul,4
БУМ,bum,4
БУН,bun,4
БУП,bup,4
БУР,bur,4
БУС,bus,4
БУТ,but,4
БУФ,buf,4
БУХ,bukh,4
БУЦ,buts,4
БУЧ,buch,4
БУШ,bush,4
БУЩ,bushch,4
БЫБ,beub,4
БЫВ,beuv,4
БЫГ,beug,4
БЫД,beud,4
БЫЖ,beuzh,4
БЫЗ,beuz,4
БЫЙ,beuy,4
БЫК,beuk,4
БЫЛ,beul,4
БЫМ,beum,4
БЫН,beun,4
БЫП,beup,4
БЫР,beur,4
БЫС,beus,4
БЫТ,beut,4
БЫФ,beuf,4
БЫХ,beukh,4
БЫЦ,beuts,4
БЫЧ,beuch,4
БЫШ,beush,4
БЫЩ,beushch,4
БЭБ,beb,4
БЭВ,bev,4
БЭГ,beg,4
БЭД,bed,4
БЭЖ,bezh,4
БЭЗ,bez,4
БЭЙ,bey,4
БЭК,bek,4
БЭЛ,bel,4
БЭМ,bem,4
БЭН,ben,4
БЭП,bep,4
БЭР,ber,4
БЭС,bes,4
БЭТ,bet,4
БЭФ,bef,4
БЭХ,bekh,4
БЭЦ,bets,4
БЭЧ,bech,4
БЭШ,besh,4
БЭЩ,beshch,4
БЮБ,byub,4
БЮВ,byuv,4
БЮГ,byug,4
БЮД,byud,4
БЮЖ,byuzh,4
БЮЗ,byuz,4
БЮЙ,byuy,4
БЮК,byuk,4
БЮЛ,byul,4
БЮМ,byum,4
БЮН,byun,4
БЮП,byup,4
БЮР,byur,4
БЮС,byus,4
БЮТ,byut,4
БЮФ,byuf,4
БЮХ,byukh,4
БЮЦ,byuts,4
БЮЧ,byuch,4
БЮШ,byush,4
БЮЩ,byushch,4
БЯБ,byab,4
БЯВ,byav,4
БЯГ,byag,4
БЯД,byad,4
БЯЖ,byazh,4
БЯЗ,byaz,4
БЯЙ,byay,4
БЯК,byak,4
БЯЛ,byal,4
БЯМ,byam,4
БЯН,byan,4
БЯП,byap,4
БЯР,byar,4
БЯС,byas,4
БЯТ,byat,4
БЯФ,byaf,4
БЯХ,byakh,4
БЯЦ,byats,4
БЯЧ,byach,4
БЯШ,byash,4
БЯЩ,byashch,4
ВАБ,vab,4
ВАВ,vav,4
ВАГ,vag,4
ВАД,vad,4
ВАЖ,vazh,4
ВАЗ,vaz,4
ВАЙ,vay,4
ВАК,vak,4
ВАЛ,val,4
ВАМ,vam,4
ВАН,van,4
ВАП,vap,4
ВАР,var,4
ВАС,vas,4
ВАТ,vat,4
ВАФ,vaf,4
ВАХ,vakh,4
ВАЦ,vats,4
ВАЧ,vach,4
ВАШ,vash,4
ВАЩ,vashch,4
ВЕБ,veb,4
ВЕВ,vev,4
ВЕГ,veg,4
ВЕД,ved,4
ВЕЖ,vezh,4
ВЕЗ,vez,4
ВЕЙ,vey,4
ВЕК,vek,4
ВЕЛ,vel,4
ВЕМ,vem,4
ВЕН,ven,4
ВЕП,vep,4
ВЕР,ver,4
ВЕС,ves,4
ВЕТ,vet,4
ВЕФ,vef,4
ВЕХ,vekh,4
ВЕЦ,vets,4
ВЕЧ,vech,4
ВЕШ,vesh,4
ВЕЩ,veshch,4
ВЁБ,vyob,4
ВЁВ,vyov,4
ВЁГ,vyog,4
ВЁД,vyod,4
ВЁЖ,vyozh,4
ВЁЗ,vyoz,4
ВЁЙ,vyoy,4
ВЁК,vyok,4
ВЁЛ,vyol,4
ВЁМ,vyom,4
ВЁН,vyon,4
ВЁП,vyop,4
ВЁР,vyor,4
ВЁС,vyos,4
ВЁТ,vyot,4
ВЁФ,vyof,4
ВЁХ,vyokh,4
ВЁЦ,vyots,4
ВЁЧ,vyoch,4
ВЁШ,vyosh,4
ВЁЩ,vyoshch,4
ВИБ,vib,4
ВИВ,viv,4
ВИГ,vig,4
ВИД,vid,4
ВИЖ,vizh,4
ВИЗ,viz,4
ВИЙ,viy,4
ВИК,vik,4
ВИЛ,vil,4
ВИМ,vim,4
ВИН,vin,4
ВИП,vip,4
ВИР,vir,4
ВИС,vis,4
ВИТ,vit,4
ВИФ,vif,4
ВИХ,vikh,4
ВИЦ,vits,4
ВИЧ,vich,4
ВИШ,vish,4
ВИЩ,vishch,4
ВОБ,vob,4
ВОВ,vov,4
ВОГ,vog,4
ВОД,vod,4
ВОЖ,vozh,4
ВОЗ,voz,4
ВОЙ,voy,4
ВОК,vok,4
ВОЛ,vol,4
ВОМ,vom,4
ВОН,von,4
ВОП,vop,4
ВОР,vor,4
ВОС,vos,4
ВОТ,vot,4
ВОФ,vof,4
ВОХ,vokh,4
ВОЦ,vots,4
ВОЧ,voch,4
ВОШ,vosh,4
ВОЩ,voshch,4
ВУБ,vub,4
ВУВ,vuv,4
ВУГ,vug,4
ВУД,vud,4
ВУЖ,vuzh,4
ВУЗ,vuz,4
ВУЙ,vuy,4
ВУК,vuk,4
ВУЛ,vul,4
ВУМ,vum,4
ВУН,vun,4
ВУП,vup,4
ВУР,vur,4
ВУС,vus,4
ВУТ,vut,4
ВУФ,vuf,4
ВУХ,vukh,4
ВУЦ,vuts,4
ВУЧ,vuch,4
ВУШ,vush,4
ВУЩ,vushch,4
ВЫБ,veub,4
ВЫВ,veuv,4
ВЫГ,veug,4
ВЫД,veud,4
ВЫЖ,veuzh,4
ВЫЗ,veuz,4
ВЫЙ,veuy,4
ВЫК,veuk,4
ВЫЛ,veul,4
ВЫМ,veum,4
ВЫН,veun,4
ВЫП,veup,4
ВЫР,veur,4
ВЫС,veus,4
ВЫТ,veut,4
ВЫФ,veuf,4
ВЫХ,veukh,4
ВЫЦ,veuts,4
ВЫЧ,veuch,4
ВЫШ,veush,4
ВЫЩ,veushch,4
ВЭБ,veb,4
ВЭВ,vev,4
ВЭГ,veg,4
ВЭД,ved,4
ВЭЖ,vezh,4
ВЭЗ,vez,4
ВЭЙ,vey,4
ВЭК,vek,4
ВЭЛ,vel,4
ВЭМ,vem,4
ВЭН,ven,4
ВЭП,vep,4
ВЭР,ver,4
ВЭС,ves,4
ВЭТ,vet,4
ВЭФ,vef,4
ВЭХ,vekh,4
ВЭЦ,vets,4
ВЭЧ,vech,4
ВЭШ,vesh,4
ВЭЩ,veshch,4
ВЮБ,vyub,4
ВЮВ,vyuv,4
ВЮГ,vyug,4
ВЮД,vyud,4
ВЮЖ,vyuzh,4
ВЮЗ,vyuz,4
ВЮЙ,vyuy,4
ВЮК,vyuk,4
ВЮЛ,vyul,4
ВЮМ,vyum,4
ВЮН,vyun,4
ВЮП,vyup,4
ВЮР,vyur,4
ВЮС,vyus,4
ВЮТ,vyut,4
ВЮФ,vyuf,4
ВЮХ,vyukh,4
ВЮЦ,vyuts,4
ВЮЧ,vyuch,4
ВЮШ,vyush,4
ВЮЩ,vyushch,4
ВЯБ,vyab,4
ВЯВ,vyav,4
ВЯГ,vyag,4
ВЯД,vyad,4
ВЯЖ,vyazh,4
ВЯЗ,vyaz,4
ВЯЙ,vyay,4
ВЯК,vyak,4
ВЯЛ,vyal,4
ВЯМ,vyam,4
ВЯН,vyan,4
ВЯП,vyap,4
ВЯР,vyar,4
ВЯС,vyas,4
ВЯТ,vyat,4
ВЯФ,vyaf,4
ВЯХ,vyakh,4
ВЯЦ,vyats,4
ВЯЧ,vyach,4
ВЯШ,vyash,4
ВЯЩ,vyashch,4
ГАБ,gab,4
ГАВ,gav,4
ГАГ,gag,4
ГАД,gad,4
ГАЖ,gazh,4
ГАЗ,gaz,4
ГАЙ,gay,4
ГАК,gak,4
ГАЛ,gal,4
ГАМ,gam,4
ГАН,gan,4
ГАП,gap,4
ГАР,gar,4
ГАС,gas,4
ГАТ,gat,4
ГАФ,gaf,4
ГАХ,gakh,4
ГАЦ,gats,4
ГАЧ,gach,4
ГАШ,gash,4
ГАЩ,gashch,4
ГЕБ,geb,4
ГЕВ,gev,4
ГЕГ,geg,4
ГЕД,ged,4
ГЕЖ,gezh,4
ГЕЗ,gez,4
ГЕЙ,gey,4
ГЕК,gek,4
ГЕЛ,gel,4
ГЕМ,gem,4
ГЕН,gen,4
ГЕП,gep,4
ГЕР,ger,4
ГЕС,ges,4
ГЕТ,get,4
ГЕФ,gef,4
ГЕХ,gekh,4
ГЕЦ,gets,4
ГЕЧ,gech,4
ГЕШ,gesh,4
ГЕЩ,geshch,4
ГЁБ,gyob,4
ГЁВ,gyov,4
ГЁГ,gyog,4
ГЁД,gyod,4
ГЁЖ,gyozh,4
ГЁЗ,gyoz,4
ГЁЙ,gyoy,4
ГЁК,gyok,4
ГЁЛ,gyol,4
ГЁМ,gyom,4
ГЁН,gyon,4
ГЁП,gyop,4
ГЁР,gyor,4
ГЁС,gyos,4
ГЁТ,gyot,4
ГЁФ,gyof,4
ГЁХ,gyokh,4
ГЁЦ,gyots,4
ГЁЧ,gyoch,4
ГЁШ,gyosh,4
ГЁЩ,gyoshch,4
ГИБ,gib,4
ГИВ,giv,4
ГИГ,gig,4
ГИД,gid,4
ГИЖ,gizh,4
ГИЗ,giz,4
ГИЙ,giy,4
ГИК,gik,4
ГИЛ,gil,4
ГИМ,gim,4
ГИН,gin,4
ГИП,gip,4
ГИР,gir,4
ГИС,gis,4
ГИТ,git,4
ГИФ,gif,4
ГИХ,gikh,4
ГИЦ,gits,4
ГИЧ,gich,4
ГИШ,gish,4
ГИЩ,gishch,4
ГОБ,gob,4
ГОВ,gov,4
ГОГ,gog,4
ГОД,god,4
ГОЖ,gozh,4
ГОЗ,goz,4
ГОЙ,goy,4
ГОК,gok,4
ГОЛ,gol,4
ГОМ,gom,4
ГОН,gon,4
ГОП,gop,4
ГОР,gor,4
ГОС,gos,4
ГОТ,got,4
ГОФ,gof,4
ГОХ,gokh,4
ГОЦ,gots,4
ГОЧ,goch,4
ГОШ,gosh,4
ГОЩ,goshch,4
ГУБ,gub,4
ГУВ,guv,4
ГУГ,gug,4
ГУД,gud,4
ГУЖ,guzh,4
ГУЗ,guz,4
ГУЙ,guy,4
ГУК,guk,4
ГУЛ,gul,4
ГУМ,gum,4
ГУН,gun,4
ГУП,gup,4
ГУР,gur,4
ГУС,gus,4
ГУТ,gut,4
ГУФ,guf,4
ГУХ,gukh,4
ГУЦ,guts,4
ГУЧ,guch,4
ГУШ,gush,4
ГУЩ,gushch,4
ГЫБ,geub,4
ГЫВ,geuv,4
ГЫГ,geug,4
ГЫД,geud,4
ГЫЖ,geuzh,4
ГЫЗ,geuz,4
ГЫЙ,geuy,4
ГЫК,geuk,4
ГЫЛ,geul,4
ГЫМ,geum,4
ГЫН,geun,4
ГЫП,geup,4
ГЫР,geur,4
ГЫС,geus,4
ГЫТ,geut,4
ГЫФ,geuf,4
ГЫХ,geukh,4
ГЫЦ,geuts,4
ГЫЧ,geuch,4
ГЫШ,geush,4
ГЫЩ,geushch,4
ГЭБ,geb,4
ГЭВ,gev,4
ГЭГ,geg,4
ГЭД,ged,4
ГЭЖ,gezh,4
ГЭЗ,gez,4
ГЭЙ,gey,4
ГЭК,gek,4
ГЭЛ,gel,4
ГЭМ,gem,4
ГЭН,gen,4
ГЭП,gep,4
ГЭР,ger,4
ГЭС,ges,4
ГЭТ,get,4
ГЭФ,gef,4
ГЭХ,gekh,4
ГЭЦ,gets,4
ГЭЧ,gech,4
ГЭШ,gesh,4
ГЭЩ,geshch,4
ГЮБ,gyub,4
ГЮВ,gyuv,4
ГЮГ,gyug,4
ГЮД,gyud,4
ГЮЖ,gyuzh,4
ГЮЗ,gyuz,4
ГЮЙ,gyuy,4
ГЮК,gyuk,4
ГЮЛ,gyul,4
ГЮМ,gyum,4
ГЮН,gyun,4
ГЮП,gyup,4
ГЮР,gyur,4
ГЮС,gyus,4
ГЮТ,gyut,4
ГЮФ,gyuf,4
ГЮХ,gyukh,4
ГЮЦ,gyuts,4
ГЮЧ,gyuch,4
ГЮШ,gyush,4
ГЮЩ,gyushch,4
ГЯБ,gyab,4
ГЯВ,gyav,4
ГЯГ,gyag,4
ГЯД,gyad,4
ГЯЖ,gyazh,4
ГЯЗ,gyaz,4
ГЯЙ,gyay,4
ГЯК,gyak,4
ГЯЛ,gyal,4
ГЯМ,gyam,4
ГЯН,gyan,4
ГЯП,gyap,4
ГЯР,gyar,4
ГЯС,gyas,4
ГЯТ,gyat,4
ГЯФ,gyaf,4
ГЯХ,gyakh,4
ГЯЦ,gyats,4
ГЯЧ,gyach,4
ГЯШ,gyash,4
ГЯЩ,gyashch,4
ДАБ,dab,4
ДАВ,dav,4
ДАГ,dag,4
ДАД,dad,4
ДАЖ,dazh,4
ДАЗ,daz,4
ДАЙ,day,4
ДАК,dak,4
ДАЛ,dal,4
ДАМ,dam,4
ДАН,dan,4
ДАП,dap,4
ДАР,dar,4
ДАС,das,4
ДАТ,dat,4
ДАФ,daf,4
ДАХ,dakh,4
ДАЦ,dats,4
ДАЧ,dach,4
ДАШ,dash,4
ДАЩ,dashch,4
ДЕБ,deb,4
ДЕВ,dev,4
ДЕГ,deg,4
ДЕД,ded,4
ДЕЖ,dezh,4
ДЕЗ,dez,4
ДЕЙ,dey,4
ДЕК,dek,4
ДЕЛ,del,4
ДЕМ,dem,4
ДЕН,den,4
ДЕП,dep,4
ДЕР,der,4
ДЕС,des,4
ДЕТ,det,4
ДЕФ,def,4
ДЕХ,dekh,4
ДЕЦ,dets,4
ДЕЧ,dech,4
ДЕШ,desh,4
ДЕЩ,deshch,4
ДЁБ,dyob,4
ДЁВ,dyov,4
ДЁГ,dyog,4
ДЁД,dyod,4
ДЁЖ,dyozh,4
ДЁЗ,dyoz,4
ДЁЙ,dyoy,4
ДЁК,dyok,4
ДЁЛ,dyol,4
ДЁМ,dyom,4
ДЁН,dyon,4
ДЁП,dyop,4
ДЁР,dyor,4
ДЁС,dyos,4
ДЁТ,dyot,4
ДЁФ,dyof,4
ДЁХ,dyokh,4
ДЁЦ,dyots,4
ДЁЧ,dyoch,4
ДЁШ,dyosh,4
ДЁЩ,dyoshch,4
ДИБ,dib,4
ДИВ,div,4
ДИГ,dig,4
ДИД,did,4
ДИЖ,dizh,4
ДИЗ,diz,4
ДИЙ,diy,4
ДИК,dik,4
ДИЛ,dil,4
ДИМ,dim,4
ДИН,din,4
ДИП,dip,4
ДИР,dir,4
ДИС,dis,4
ДИТ,dit,4
ДИФ,dif,4
ДИХ,dikh,4
ДИЦ,dits,4
ДИЧ,dich,4
ДИШ,dish,4
ДИЩ,dishch,4
ДОБ,dob,4
ДОВ,dov,4
ДОГ,dog,4
ДОД,dod,4
ДОЖ,dozh,4
ДОЗ,doz,4
ДОЙ,doy,4
ДОК,dok,4
ДОЛ,dol,4
ДОМ,dom,4
ДОН,don,4
ДОП,dop,4
ДОР,dor,4
ДОС,dos,4
ДОТ,dot,4
ДОФ,dof,4
ДОХ,dokh,4
ДОЦ,dots,4
ДОЧ,doch,4
ДОШ,dosh,4
ДОЩ,doshch,4
ДУБ,dub,4
ДУВ,duv,4
ДУГ,dug,4
ДУД,dud,4
ДУЖ,duzh,4
ДУЗ,duz,4
ДУЙ,duy,4
ДУК,duk,4
ДУЛ,dul,4
ДУМ,dum,4
ДУН,dun,4
ДУП,dup,4
ДУР,dur,4
ДУС,dus,4
ДУТ,dut,4
ДУФ,duf,4
ДУХ,dukh,4
ДУЦ,duts,4
ДУЧ,duch,4
ДУШ,dush,4
ДУЩ,dushch,4
ДЫБ,deub,4
ДЫВ,deuv,4
ДЫГ,deug,4
ДЫД,deud,4
ДЫЖ,deuzh,4
ДЫЗ,deuz,4
ДЫЙ,deuy,4
ДЫК,deuk,4
ДЫЛ,deul,4
ДЫМ,deum,4
ДЫН,deun,4
ДЫП,deup,4
ДЫР,deur,4
ДЫС,deus,4
ДЫТ,deut,4
ДЫФ,deuf,4
ДЫХ,deukh,4
ДЫЦ,deuts,4
ДЫЧ,deuch,4
ДЫШ,deush,4
ДЫЩ,deushch,4
ДЭБ,deb,4
ДЭВ,dev,4
ДЭГ,deg,4
ДЭД,ded,4
ДЭЖ,dezh,4
ДЭЗ,dez,4
ДЭЙ,dey,4
ДЭК,dek,4
ДЭЛ,del,4
ДЭМ,dem,4
ДЭН,den,4
ДЭП,dep,4
ДЭР,der,4
ДЭС,des,4
ДЭТ,det,4
ДЭФ,def,4
ДЭХ,dekh,4
ДЭЦ,dets,4
ДЭЧ,dech,4
ДЭШ,desh,4
ДЭЩ,deshch,4
ДЮБ,dyub,4
ДЮВ,dyuv,4
ДЮГ,dyug,4
ДЮД,dyud,4
ДЮЖ,dyuzh,4
ДЮЗ,dyuz,4
